,ACB,BID,BVH,CTG,FPT,GAS,HDB,HPG,MBB,MSN,MWG,PDR,SSI,STB,TCB,TPB,VCB,VIB,VIC,VNM,VPB
25,Other assets,Other assets,Chi phí trả trước ngắn hạn,Other assets,Giao dịch mua bán lại trái phiếu chính phủ,Giao dịch mua bán lại trái phiếu chính phủ,Other assets,Giao dịch mua bán lại trái phiếu chính phủ,Other assets,Giao dịch mua bán lại trái phiếu chính phủ,Giao dịch mua bán lại trái phiếu chính phủ,Giao dịch mua bán lại trái phiếu chính phủ,Dự phòng nợ khó đòi,Other assets,Other assets,Other assets,Other assets,Other assets,Giao dịch mua bán lại trái phiếu chính phủ,Giao dịch mua bán lại trái phiếu chính phủ,Other assets
26,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Chi phí hoa hồng chưa phân bổ,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tài sản lưu động khác,Tài sản lưu động khác,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tài sản lưu động khác,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tài sản lưu động khác,Tài sản lưu động khác,Tài sản lưu động khác,Tài sản thiếu chờ xử lý,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tài sản lưu động khác,Tài sản lưu động khác,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
27,Tổng nợ phải trả,Tổng nợ phải trả,Chi phí trả trước ngắn hạn khác,Tổng nợ phải trả,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,Tổng nợ phải trả,TÀI SẢN DÀI HẠN,Tổng nợ phải trả,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,Hàng tồn kho (Ròng),Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,Tổng nợ phải trả
28,Các khoản nợ chính phủ và NHNN Việt Nam,Các khoản nợ chính phủ và NHNN Việt Nam,,Các khoản nợ chính phủ và NHNN Việt Nam,Phải thu dài hạn,Phải thu dài hạn,Các khoản nợ chính phủ và NHNN Việt Nam,Phải thu dài hạn,Các khoản nợ chính phủ và NHNN Việt Nam,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Hàng tồn kho  ,Các khoản nợ chính phủ và NHNN Việt Nam,Các khoản nợ chính phủ và NHNN Việt Nam,Các khoản nợ chính phủ và NHNN Việt Nam,Các khoản nợ chính phủ và NHNN Việt Nam,Các khoản nợ chính phủ và NHNN Việt Nam,Phải thu dài hạn,Phải thu dài hạn,Các khoản nợ chính phủ và NHNN Việt Nam
29,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi và vay các Tổ chức tín dụng khác,Thuế GTGT được khấu trừ,Tiền gửi và vay các Tổ chức tín dụng khác,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Tiền gửi và vay các Tổ chức tín dụng khác,Phải thu khách hàng dài hạn,Tiền gửi và vay các Tổ chức tín dụng khác,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Dự phòng giảm giá HTK,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi và vay các Tổ chức tín dụng khác,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Tiền gửi và vay các Tổ chức tín dụng khác
30,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Thuế và các khoản phải thu của nhà nước,Tiền gửi của khách hàng,Trả trước người bán dài hạn,Trả trước người bán dài hạn,Tiền gửi của khách hàng,Trả trước người bán dài hạn,Tiền gửi của khách hàng,Trả trước người bán dài hạn,Trả trước người bán dài hạn,Trả trước người bán dài hạn,Tài sản lưu động khác,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Trả trước người bán dài hạn,Trả trước người bán dài hạn,Tiền gửi của khách hàng
31,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Vốn kinh doanh ở các đơn vị trực thuộc,Vốn kinh doanh ở các đơn vị trực thuộc,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Vốn kinh doanh ở các đơn vị trực thuộc,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Vốn kinh doanh ở các đơn vị trực thuộc,Vốn kinh doanh ở các đơn vị trực thuộc,Vốn kinh doanh ở các đơn vị trực thuộc,Tạm ứng ,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Vốn kinh doanh ở các đơn vị trực thuộc,Vốn kinh doanh ở các đơn vị trực thuộc,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác
32,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác","Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Giao dịch mua bán lại trái phiếu Chính phủ,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phải thu nội bộ dài hạn,Phải thu nội bộ dài hạn,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phải thu nội bộ dài hạn,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phải thu nội bộ dài hạn,Phải thu nội bộ dài hạn,Phải thu nội bộ dài hạn,"Vật tư văn phòng, công cụ, dụng cụ","Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác","Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác","Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác","Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác","Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phải thu nội bộ dài hạn,Phải thu nội bộ dài hạn,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác"
33,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Tài sản ngắn hạn khác ,Phát hành giấy tờ có giá,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phát hành giấy tờ có giá,Phải thu về cho vay dài hạn,Phát hành giấy tờ có giá,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Chi phí trả trước ngắn hạn,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phát hành giấy tờ có giá
34,Các khoản nợ khác,Các khoản nợ khác,Tài sản tái bảo hiểm ,Các khoản nợ khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Các khoản nợ khác,Phải thu dài hạn khác,Các khoản nợ khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,"Cầm cố, thế chấp, ký quỹ và ký cược ngắn hạn",Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Các khoản nợ khác
